Strain,Contig,M9_Expression,Replicate,M9_Average_Expression,M9_SD,M9_SE,TB_Expression,TB_Average_Expression,TB_SD,TB_SE,Average_Ratio,Shape,Gene,ColorLabels,,,,,,
PCU1T,contig_3_-;contig_6_MOBF;contig_9_-,2133,1,2207,65.2,37.64,2207,2444.33,211.3,121.99,0.902905909,trabasic,traA,#00394C,,,,,,
PCU1T,contig_3_-;contig_6_MOBF;contig_9_-,2256,2,2207,65.2,37.64,2514,2444.33,211.3,121.99,,trabasic,traA,#00394C,,,,,,
PCU1T,contig_3_-;contig_6_MOBF;contig_9_-,2232,3,2207,65.2,37.64,2612,2444.33,211.3,121.99,,trabasic,traA,#00394C,,,,,,
41T,000001F_arrow_MOBF_40484121453,0,1,0.33,0.58,0.33,1,1,0,0,0.33,trabasic,traA_1,#00394C,,,,,,
41T,000001F_arrow_MOBF_40484121453,1,2,0.33,0.58,0.33,1,1,0,0,,trabasic,traA_1,#00394C,,,,,,
41T,000001F_arrow_MOBF_40484121453,0,3,0.33,0.58,0.33,1,1,0,0,,trabasic,traA_1,#00394C,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,28417,1,38342,14532,8390.05,51745,48539,3165.8,1827.77,0.789921506,trabasic,traA_2,#00394C,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,55022,2,38342,14532,8390.05,45415,48539,3165.8,1827.77,,trabasic,traA_2,#00394C,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,31587,3,38342,14532,8390.05,48457,48539,3165.8,1827.77,,trabasic,traA_2,#00394C,,,,,,
5243T,contig_3_-,1,1,1,0,0,1,1,1,0.58,1,trabasic,traB_1,#FFB300,,,,,,
5243T,contig_3_-,1,2,1,0,0,2,1,1,0.58,,trabasic,traB_1,#FFB300,,,,,,
5243T,contig_3_-,1,3,1,0,0,0,1,1,0.58,,trabasic,traB_1,#FFB300,,,,,,
PCU1T,contig_3_-,1,1,0.67,0.58,0.33,6,3,2.65,1.53,0.223333333,trabasic,traB_1,#FFB300,,,,,,
PCU1T,contig_3_-,1,2,0.67,0.58,0.33,1,3,2.65,1.53,,trabasic,traB_1,#FFB300,,,,,,
PCU1T,contig_3_-,0,3,0.67,0.58,0.33,2,3,2.65,1.53,,trabasic,traB_1,#FFB300,,,,,,
5243T,contig_3_-,2,1,5.67,4.04,2.33,1,3.67,5.51,3.18,1.544959128,trabasic,traB_2,#FFB300,,,,,,
