Geneid,M9-41T-3,M9-41T-4,M9-41T-5,TB-41T-4,TB-41T-5,TB-41T-6
yiaM,1,3,1,1,1,1
yiaN,14,9,7,3,7,4
yiaO,2,3,10,6,14,14
lyxK,33,37,40,29,38,42
sgbH,16,6,12,16,17,14
sgbU,19,20,27,18,24,20
sgbE,62,55,56,25,31,38
yiaT,7,4,9,8,7,5
yiaU,154,143,167,78,113,121
yiaV,53,41,51,24,25,27
yiaW,2,1,3,1,0,0
aldB,360,1190,548,39,53,53
yiaY,7,14,11,12,23,27
selB,1403,1490,1481,1305,1491,1485
selA,978,1123,1000,939,1136,1057
yibF,676,426,733,69,88,89
rhsA,310,296,333,293,333,362
yibA,41,55,24,27,33,21
yibG,9,3,7,0,6,0
yibV,2,2,1,0,4,2
yibH,42,53,46,5,12,13
yibI,23,53,24,5,8,6
mtlA,1097,1128,1418,1771,2327,2080
mtlD,1159,906,1138,1327,1535,1465
mtlR,495,555,467,495,592,455
yibT,186,376,211,189,246,234
yibL,918,568,841,547,581,538
lldP,427,1028,667,68,150,134
lldR,241,237,304,43,108,124
lldD,152,152,228,44,68,67
trmL,640,232,518,403,452,482
cysE,3294,3245,3227,1972,2570,2455
gpsA,4946,2581,4699,3547,4407,3913
secB,6702,5140,7222,3285,4169,3771
grxC,4868,3253,4724,2274,2580,2547
yibN,4324,2146,3998,1891,2174,2116
gpmM,5858,6086,8403,7259,7948,7754
envC,1352,640,1208,1104,1341,1210
yibQ,648,172,559,363,392,455
waaH,66,41,78,75,50,52
tdh,382,377,357,760,1041,891
kbl,796,1010,734,1675,2237,2257
htrL,660,420,542,353,415,467
rfaD,6285,6360,6276,3548,4197,4210
waaF,1455,1138,1368,801,994,979
waaC,626,567,596,381,475,475
waaL,703,878,582,468,485,572
waaU,424,683,387,263,275,349
waaZ,589,883,498,359,368,475
waaY,585,894,558,416,371,444
waaJ,437,698,361,319,274,315
waaO,461,785,449,389,460,429
waaB,494,620,398,496,569,599
waaS,336,545,251,336,385,416
waaP,610,633,527,438,520,509
waaG,768,892,718,561,688,702
waaQ,1221,1415,1113,925,1091,1149
waaA,709,230,586,591,688,646
coaD,344,166,296,258,362,355
mutM,324,239,275,578,797,722
rpmG,1980,707,1347,2535,2596,2724
rpmB,26335,10934,23182,36337,39981,40781
yicR,811,609,736,1083,1419,1359
dfp,1119,739,1221,890,1031,1047
dut,1281,666,1373,1193,1377,1415
slmA,983,408,994,662,846,790
pyrE,111,61,106,76,94,101
rph,841,289,769,840,933,923
yicC,3915,1758,3126,1971,2393,2210
dinD,477,497,461,420,508,527
yicG,83,92,83,763,796,795
ligB,100,105,87,38,68,60
gmk,9182,7524,7612,4277,4595,4686
rpoZ,1047,606,760,313,407,334
spoT,8696,5014,7807,6924,8054,7833
trmH,420,203,330,492,576,539
recG,1232,933,1188,1475,2024,1916
gltS,833,749,761,982,1220,1211
xanP,1775,382,1310,36,89,97
yicH,1514,1465,1423,459,650,597
yicI,361,403,391,143,188,144
yicJ,56,63,42,17,38,22
selC,126,25,67,15,22,22
setC,11,20,8,4,4,6
yicL,557,796,501,191,224,235
nlpA,667,2559,812,43,60,45
yicS,57,67,41,7,11,16
nepI,603,320,453,281,381,398
yicN,161,116,141,80,101,116
adeQ,10,13,17,26,42,35
adeD,138,175,138,203,353,294
uhpT,43,69,54,34,43,45
uhpC,122,69,147,177,181,169
uhpB,875,317,991,620,697,679
uhpA,1055,322,1627,486,634,630
ilvN,643,203,2010,40,54,53
ilvB,3452,2069,11290,253,334,332
ivbL,306,360,578,178,214,186
istR,25,18,20,16,19,16
tisB,1783,1657,1959,459,515,461
emrD,118,141,232,6434,7173,7512
yidF,103,353,189,593,656,619
yidG,180,179,155,95,78,99
yidH,122,155,124,64,75,69
yidI,89,81,66,37,66,53
yidJ,60,68,52,26,20,23
yidK,29,50,33,20,21,25
yidL,65,95,78,12,20,20
glvG,54,42,51,18,17,18
glvB,12,11,11,3,5,7
glvC,26,15,28,10,9,11
yidP,15,10,14,8,8,8
yidE,546,495,472,457,572,559
ibpB,45,196,101,259,554,498
ibpA,209,1171,199,366,694,686
yidQ,2350,2528,1947,886,1051,1012
yidR,1631,1610,1342,787,953,892
cbrA,33,29,38,8,11,7
dgoT,64,36,47,32,34,33
dgoD,75,65,68,31,41,41
dgoA,29,27,33,13,22,18
dgoK,89,129,125,69,78,61
dgoR,88,191,150,81,107,104
yidX,171,168,156,70,81,64
yidA,2022,1509,2220,1298,1522,1454
yidB,42,28,18,17,10,11
gyrB,13181,12624,13102,15984,19899,18530
recF,1311,636,955,2255,2875,2949
dnaN,4648,2786,4004,5598,6995,6718
dnaA,5151,3211,4398,5779,7077,6983
ysdD,24,21,15,3,11,5
rpmH,17545,4636,12567,14286,13885,15085
rnpA,6377,1402,4576,9144,10293,10796
yidD,805,192,719,1697,1811,1911
yidC,4870,2014,4125,11111,13065,12771
mnmE,682,519,690,1516,1743,1622
tnaC,0,0,2,33,35,28
tnaA,178,275,402,61787,72136,68735
tnaB,46,73,65,2493,2961,3060
mdtL,146,58,108,92,90,94
yidZ,654,429,590,280,358,300
yieE,903,1314,811,1816,2300,2156
yieF,525,671,516,419,607,496
adeP,2886,993,2751,786,863,824
yieH,345,184,324,61,105,95
cbrB,203,261,205,59,62,69
cbrC,44,50,22,17,18,15
yieK,26,31,33,14,13,12
yieL,33,31,38,21,26,31
bglH,14,10,17,7,20,6
bglB,12,21,11,4,9,1
bglF,1053,378,645,262,308,320
bglG,8,8,9,2,7,2
phoU,730,1033,895,590,654,652
pstB,831,1123,1134,1081,1129,1167
pstA,210,186,256,529,518,551
pstC,222,230,286,414,470,565
pstS,281,285,606,534,593,664
glmS,7360,4113,8183,9302,12193,11762
glmU,3545,1665,3943,4163,5059,4863
atpC,10991,10973,13656,8682,10897,9858
atpD,28055,25570,36716,25030,31813,29289
atpG,13683,9590,16281,12791,15972,14728
atpA,41990,28799,53431,41833,50818,48653
atpH,13136,7497,14071,10876,12836,12268
atpF,14631,9435,17263,11435,14323,13635
atpE,6800,4045,7241,4236,5109,4940
atpB,9056,4548,9841,5795,7214,6819
atpI,1626,538,1469,1117,1244,1232
rsmG,492,299,470,547,627,648
mnmG,2377,811,2002,2687,3284,3232
mioC,2401,491,1637,693,719,798
asnC,327,388,301,413,583,594
asnA,1890,1058,1234,788,1775,1717
viaA,673,602,629,772,884,823
ravA,545,1135,677,1537,1644,1504
kup,937,640,825,805,929,859
rbsD,800,4126,3298,2069,2741,2323
rbsA,237,307,665,484,656,481
rbsC,195,120,545,343,381,346
rbsB,615,393,1514,873,1131,920
rbsK,447,446,685,358,527,484
rbsR,366,284,484,226,297,239
hsrA,773,791,664,643,799,745
yieP,816,1260,683,1081,1295,1224
rrsC,1846,4316,2950,4387,5211,1621
gltU,343,142,217,124,126,95
rrlC,6358,12948,9735,13460,14698,5962
rrfC,4,5,3,5,6,3
aspT,1010,531,616,393,464,512
trpT,239,179,163,67,102,101
hdfR,1236,800,1214,348,460,396
maoP,551,581,626,246,336,289
yifB,78,109,97,83,93,89
ilvL,961,1291,773,47,71,52
ilvX,473,870,424,12,9,11
ilvM,801,2927,879,52,68,67
ilvE,7324,13710,7807,544,688,633
ilvD,10742,18534,11190,770,1057,996
ilvA,7411,11795,7298,644,859,779
ilvY,407,371,371,232,302,320
ilvC,26617,47246,78284,573,779,694
ppiC,703,430,1163,236,268,264
rep,1436,739,1284,1068,1388,1413
gpp,2966,1846,2759,2427,2877,2806
rhlB,14450,10155,14285,10803,12260,12121
trxA,4382,3948,4504,2343,2681,2801
rhoL,4063,3805,3651,2685,3080,3190
rho,23879,20647,22209,31430,37376,36814
rfe,3030,1602,2450,3518,4153,4202
