Geneid,M9-PCU1T-1,M9-PCU1T-3,M9-PCU1T-2,TB-PCU1T-6,TB-PCU1T-5,TB-PCU1T-4
pspE,212,136,217,314,250,241
ycjM,15,5,11,15,14,8
ycjN,12,6,9,7,3,4
ycjO,13,11,23,15,16,7
ycjP,17,25,21,17,18,26
ycjQ,55,55,39,55,44,46
ycjR,47,42,43,42,36,41
ycjS,172,178,188,86,78,69
ycjT,89,80,85,24,27,33
ycjU,13,8,14,6,9,5
ompG,3,5,6,10,9,9
ycjW,99,72,66,112,116,105
ycjX,1076,1028,1045,825,1076,1149
ycjF,536,498,448,582,835,755
tyrR,1196,953,898,2592,2977,2782
tpx,5077,5008,4823,5993,5482,4581
ycjG,1206,1206,1119,766,762,726
mpaA,433,461,396,371,312,300
ymjC,71,66,65,84,93,89
ymjD,5,2,2,5,2,1
ycjY,181,193,166,185,173,149
pgrR,98,116,94,96,125,109
mppA,565,439,441,931,841,695
ynaI,625,367,434,404,393,352
insH-4,665,532,534,541,532,456
ynaJ,383,340,261,437,324,391
uspE,7159,8204,8501,8866,8341,6988
fnr,12253,11983,11532,9619,8573,7859
ogt,269,296,262,144,139,110
abgT,125,122,106,72,69,66
abgB,106,98,97,44,41,40
abgA,32,34,28,30,21,22
abgR,37,48,32,35,28,32
mcaS,4,11,9,7,6,4
smrA,187,195,172,177,203,158
dgcM,468,396,339,206,143,157
zntB,670,656,747,741,694,639
fnrS,96,86,92,429,340,380
ynaL,142,141,121,37,31,34
dbpA,1310,1261,1292,1633,1738,1642
ttcA,931,950,1018,1664,1878,1738
intR,135,120,114,230,241,250
xisR,5,4,5,4,1,4
rcbA,1,0,0,2,5,6
ralA,0,0,0,0,0,0
ralR,2,0,0,2,0,1
recT,39,47,44,29,23,21
recE,89,81,66,59,70,69
racC,8,1,3,8,10,7
ydaE,1,1,1,5,1,4
kilR,2,3,3,9,8,12
sieB,9,16,10,9,19,18
ydaF,4,2,3,5,1,4
ydaG,18,15,13,17,13,16
racR,1105,1186,1190,785,760,748
ydaS,29,22,27,12,11,9
ydaT,20,20,16,15,23,16
ydaU,35,30,22,19,16,14
ydaV,10,7,10,13,4,1
ydaW,52,64,53,15,17,18
rzoR,27,34,33,16,17,10
trkG,297,234,319,121,120,123
ynaK,19,16,14,16,9,14
ydaY,37,24,25,10,31,22
ynaA,46,41,35,25,21,21
