Geneid,M9-PCU1T-1,M9-PCU1T-3,M9-PCU1T-2,TB-PCU1T-6,TB-PCU1T-5,TB-PCU1T-4
folB,63,84,71,275,284,318
plsY,201,249,187,351,383,423
ttdR,27,25,24,36,49,51
ttdA,21,18,20,16,28,23
ttdB,36,32,25,16,27,22
ttdT,138,133,154,323,373,374
tsaD,376,354,405,971,852,1052
rpsU,7332,6772,6318,21531,20781,22678
dnaG,3420,3610,3465,14301,14801,14529
rpoD,11935,12653,11590,25038,26686,27307
mug,440,401,407,332,337,322
ileX,66,56,50,5,8,9
nfeF,767,761,680,66,103,121
nfeR,238,231,250,144,183,164
aer,72,78,61,37,57,52
patA,2058,1933,1193,232,167,172
ygjH,108,67,82,9,18,10
ebgR,1431,1148,1347,1454,1868,1851
ebgA,160,145,142,642,711,834
ebgC,20,7,24,64,107,102
ygjI,12,8,7,24,23,31
ygjJ,8,8,5,5,9,3
ygjK,119,129,124,51,49,61
fadH,46,43,34,30,32,30
higA,30,28,34,32,35,47
higB,33,40,40,63,73,67
rlmG,325,437,318,1137,1255,1303
ygjP,219,198,155,259,257,241
ygjQ,52,48,59,58,72,65
ygjR,351,282,285,212,207,214
alx,172,153,151,528,538,660
sstT,17873,16438,13223,974,1087,883
ygjV,306,336,240,105,115,145
uxaA,443,439,400,849,494,474
uxaC,801,806,641,1715,1063,985
exuT,256,301,263,98,68,72
exuR,4362,5195,4650,2146,1879,1953
yqjA,1781,1787,1825,1655,1850,2164
mzrA,1456,1253,1235,1473,1671,1986
yqjC,1551,1656,1387,2905,2114,2535
yqjD,900,905,699,1508,957,1239
yqjE,619,668,456,1096,672,914
yqjK,349,414,299,672,463,578
yqjF,38,46,39,141,116,191
yqjG,223,293,203,420,314,370
yhaH,126,112,127,232,173,188
yhaI,18,14,8,14,10,14
yhaJ,330,321,290,273,263,274
yhaK,35,28,42,49,48,34
yhaL,227,210,186,102,99,128
cyuA,113,144,133,265,186,185
cyuP,156,176,156,197,171,159
tdcG,157,116,110,1213,1556,1025
tdcF,42,61,43,2887,1964,1761
tdcE,142,144,122,4580,6083,4152
tdcD,8,13,10,575,700,477
tdcC,92,74,70,2223,2552,1777
tdcB,23,12,15,1624,1870,1374
tdcA,38,26,16,653,832,576
tdcR,1,2,6,3,5,3
yhaB,9,10,10,11,16,26
yhaC,12,10,14,8,12,13
rnpB,72672,74608,76483,65528,55962,57385
garK,75,80,98,108,113,71
garR,30,38,33,94,74,51
garL,58,68,72,215,195,147
garP,15,13,15,135,90,59
garD,104,125,130,306,217,271
prlF,202,173,171,122,130,127
yhaV,281,279,277,125,118,134
agaR,1325,1224,1283,668,723,738
kbaZ,30,40,32,12,21,21
agaV,24,16,14,21,21,22
agaS,60,66,59,41,43,55
kbaY,24,22,25,10,11,22
agaB,24,34,38,14,11,14
agaC,21,19,12,13,7,9
agaD,34,48,44,26,29,29
agaI,14,20,14,12,20,17
yraH,41,33,35,18,17,24
yraI,12,13,12,5,6,10
yraJ,257,253,217,139,144,147
yraK,128,131,133,79,70,102
rsmI,598,601,505,415,406,429
lpoA,4011,4099,3922,3755,3684,3691
yraN,537,471,409,362,350,366
diaA,1851,1860,1702,2014,2048,2084
yraP,634,643,613,719,736,766
yraQ,475,559,572,379,465,479
yraR,275,266,230,206,203,196
yhbO,234,263,195,178,190,227
yhbP,76,66,55,78,71,78
yhbQ,124,108,112,210,257,284
yhbS,217,217,208,461,453,535
yhbT,726,687,650,1797,1835,1995
yhbU,41,53,45,850,995,1098
yhbV,31,32,41,296,362,363
yhbW,204,99,96,145,146,148
mtr,4091,1995,1573,645,523,604
deaD,27028,27386,26870,47670,50300,52750
yrbN,626,623,645,1038,1192,1270
nlpI,36001,37705,37192,47741,51850,53240
pnp,38265,34098,33931,66408,66213,68665
sraG,580,563,578,853,1079,980
rpsO,8242,7360,7388,15636,17678,17372
truB,4248,4048,3874,6224,7505,7750
rbfA,2327,2321,2258,4810,5901,5825
infB,29770,27987,27150,93976,102933,107866
nusA,11090,10950,10088,59829,58842,61506
rimP,1125,1218,1080,6991,6082,6902
metY,197,197,153,48,65,75
argG,6260,3256,2931,1753,1645,1591
yhbX,203,153,154,308,330,350
leuU,93,81,69,125,83,120
secG,2763,2474,2289,4863,4407,4899
glmM,6074,6186,6254,7373,8013,7754
folP,713,756,710,1676,1852,1766
ftsH,19338,19011,18015,29300,30651,30832
rlmE,1789,1831,1764,2296,2700,3125
yhbY,6076,6127,6024,7436,8485,8197
greA,2098,2612,1997,6670,7131,7337
dacB,996,923,876,1199,1318,1304
obgE,5465,4691,4550,15971,15927,17167
yhbE,2432,2432,2062,7449,7551,8087
rpmA,6060,4854,4545,12237,10818,11328
rplU,10462,8605,8088,19507,17233,17683
ispB,3665,3543,3382,3136,2969,3249
sfsB,376,346,293,365,418,459
murA,3511,3563,2963,3674,3957,3989
ibaG,472,424,399,505,549,582
mlaB,446,428,395,1061,897,1049
mlaC,1014,901,904,2830,2663,2829
mlaD,1681,1604,1428,5778,5683,5631
mlaE,1760,1562,1421,5167,4862,5249
mlaF,1152,1065,941,3176,3171,3259
yrbG,590,595,559,552,606,650
kdsD,922,838,850,841,814,785
kdsC,942,964,827,1118,1109,1095
lptC,2228,2441,2248,3286,3697,3451
lptA,1577,1552,1441,2511,2640,2590
lptB,1710,1628,1470,2885,2640,2898
rpoN,11510,11894,10552,6981,7305,7330
hpf,1908,2002,1916,858,802,900
ptsN,4761,4967,4470,2602,2698,2852
rapZ,2853,2678,2638,1249,1377,1346
npr,371,298,281,107,121,112
yrbL,2429,2751,1837,6884,6323,6407
mtgA,806,689,604,859,832,904
elbB,674,648,674,417,384,387
arcZ,241,173,178,79,90,103
arcB,3303,2993,3111,2039,1863,1985
yhcC,32,30,27,124,136,166
gltB,44379,56634,42895,6669,6352,6853
gltD,7153,10171,7626,558,609,609
gltF,140,200,197,53,68,72
yhcA,22,43,29,6,9,19
yhcD,253,275,240,183,191,168
insH-10,651,607,513,509,533,492
yhcF,104,118,102,70,69,80
yhcG,216,266,288,73,94,94
yhcH,60,48,47,45,41,32
nanK,122,139,110,145,140,122
nanE,39,45,37,57,34,42
nanT,59,43,57,41,39,33
nanA,150,134,119,103,105,75
nanR,1385,1370,1219,728,634,633
dcuD,97,89,90,78,76,73
sspB,4566,4263,3985,6435,6929,6982
sspA,7556,7597,7457,12062,12112,11926
rpsI,7984,7036,6561,18812,19582,19841
rplM,29765,29930,28483,75105,86798,82483
zapE,519,510,430,245,262,280
yhcB,2023,2127,2023,1344,1539,1489
degQ,667,755,644,416,378,419
degS,873,809,820,430,390,466
mdh,1322,1275,994,1902,1593,1600
argR,1539,1443,1431,1659,1613,1484
yhcN,42,47,34,829,586,468
yhcO,70,101,77,44,37,33
aaeB,162,166,170,168,125,122
aaeA,305,281,290,251,200,206
aaeX,150,136,145,136,87,100
aaeR,1090,1049,946,849,777,788
tldD,4277,4308,3783,2808,2513,2455
yhdP,1797,1504,1504,1112,1196,1237
rng,1708,1317,1368,1464,1490,1645
yhdE,338,278,264,372,343,398
mreD,898,708,710,1319,1343,1383
mreC,3514,2815,2913,5660,5530,5924
mreB,10408,9258,8746,14594,14573,15155
csrD,1178,1070,1032,1288,1286,1332
yhdH,306,242,247,333,312,382
accB,4393,4009,3742,9170,9615,10406
accC,10739,9201,9133,23098,25953,28092
yhdT,163,100,101,239,282,322
panF,984,882,861,1805,2030,2184
prmA,828,701,724,1228,1281,1498
dusB,5944,6876,6249,9593,11245,11545
fis,2419,2713,2662,4822,5148,5450
yhdJ,37,36,49,48,40,59
yhdU,42,25,35,22,26,9
envR,7,10,5,6,5,11
acrE,52,65,63,18,35,31
acrF,302,307,280,165,169,192
yhdV,123,104,144,73,107,206
yhdX,34,40,34,20,20,26
yhdY,39,52,36,41,36,59
yhdZ,43,46,51,32,40,30
rrfF,0,0,1,2,0,0
thrV,39,30,36,106,90,76
rrfD,0,3,2,4,3,5
rrlD,5709,3096,10526,8071,20798,34246
alaU,173,218,174,96,118,99
ileU,213,223,198,119,126,119
rrsD,1983,1030,3413,2511,6423,11207
yrdA,2092,2070,1751,898,853,851
yrdB,379,363,291,218,186,185
aroE,2255,2185,1996,2865,3031,2836
tsaC,855,846,862,1061,1152,1151
yrdD,1230,1443,1313,854,880,902
smg,5967,6484,6425,2134,2087,2011
smf,1225,1280,1165,539,541,467
def,3013,3069,3114,4115,4281,3835
fmt,5920,5714,5649,8398,8390,7674
rsmB,6049,5233,5386,9156,9336,8181
trkA,2238,1885,2025,3278,3288,2841
mscL,1530,1628,1677,986,934,893
arfA,92,72,79,29,23,32
zntR,396,372,357,333,320,317
yhdN,54,42,38,75,66,76
rplQ,6076,6026,5095,7756,7756,8211
rpoA,84852,90142,78660,117225,130981,122049
rpsD,61898,63041,55113,87256,92291,89917
rpsK,18845,19002,16689,25017,26025,26338
rpsM,39569,42257,37140,55547,61537,59478
rpmJ,11807,12522,11979,10960,13385,12176
secY,91470,91898,84595,98655,114193,112208
rplO,28377,26146,24509,39247,43195,43282
rpmD,7771,7270,6654,12982,12970,13002
rpsE,30175,28714,26523,56463,61222,60407
rplR,25671,24106,22030,50712,55649,53059
rplF,46931,42701,39201,98230,103502,104036
rpsH,25974,24195,22314,54595,60689,57628
rpsN,19610,17922,16453,43060,44081,44075
rplE,37276,33776,31296,78629,82529,82479
rplX,36849,35898,32992,75615,83311,80334
rplN,61415,56599,53729,116920,124144,122484
rpsQ,22176,21399,20570,22749,27796,24565
rpmC,5047,4969,4776,5922,6114,6044
rplP,18145,16865,16061,20692,21832,19808
rpsC,64166,60329,59975,72558,86689,77731
rplV,29016,27017,26799,41016,43499,40268
rpsS,23536,22247,22009,33719,37285,35074
rplB,43932,40700,40181,67801,70525,71122
rplW,17608,16287,16105,30366,30665,31645
rplD,47655,43596,43614,83191,82389,83241
rplC,64896,60692,60433,125576,131186,129811
rpsJ,36392,35081,34940,71542,74694,76544
gspB,37,48,35,18,22,21
gspA,79,84,75,25,39,35
gspC,15,12,9,21,24,25
gspD,94,74,77,82,67,85
gspE,27,34,19,36,44,34
gspF,52,58,45,37,25,30
gspG,20,21,10,11,13,15
gspH,8,13,5,2,2,1
gspI,5,12,10,7,9,3
gspJ,26,23,18,11,15,6
gspK,57,51,77,42,60,52
gspL,420,469,363,368,376,391
gspM,54,48,51,69,86,96
gspO,125,138,131,66,52,68
bfr,364,404,313,428,221,308
bfd,213,195,184,19,22,18
chiA,647,847,711,375,406,472
tufA,56001,54200,50769,31643,35951,34570
fusA,59089,49455,48293,55847,65605,62811
rpsG,24452,20690,21292,34155,39325,38933
rpsL,43344,36181,36298,57292,68629,67445
tusB,463,374,397,404,543,696
tusC,789,630,649,413,434,478
tusD,963,736,748,424,406,438
yheO,5024,4215,4176,1794,2036,2040
fkpA,2942,2539,2717,4194,3761,3920
slyX,178,174,183,282,277,344
slyD,12286,9678,9669,7499,7191,8319
yheV,225,225,214,176,183,154
kefB,416,343,317,239,227,227
kefG,353,338,265,228,265,304
yheS,3051,3137,2870,3959,4172,4374
yheT,372,346,282,450,484,496
yheU,461,432,397,297,312,325
prkB,1377,1255,1156,454,488,522
yhfA,1454,1401,1237,629,561,600
crp,12985,12797,12506,6465,6410,6771
yhfK,4140,3492,3240,1603,1893,1912
argD,3222,1746,1776,804,797,776
pabA,163,167,180,201,176,215
fic,578,639,494,699,531,603
yhfG,315,339,268,381,334,402
ppiA,1368,1135,1122,2646,2691,2727
tsgA,3020,2355,2635,1142,1246,1286
nirB,5897,5737,7664,11314,12213,15249
nirD,817,718,1091,1876,2235,2613
nirC,436,375,575,970,1143,1554
cysG,2789,2654,2778,2212,2776,3401
yhfL,61,48,57,96,107,141
frlA,12,15,11,10,6,14
frlB,58,38,31,53,40,41
frlC,27,14,24,21,16,11
frlD,91,78,81,39,31,30
frlR,241,250,256,148,164,154
yhfS,52,67,39,27,41,35
yhfT,115,130,116,65,48,62
yhfU,70,76,62,32,30,32
php,40,36,29,21,11,25
yhfW,82,74,84,30,38,36
yhfX,7,5,11,2,0,1
yhfY,8,7,4,0,0,6
yhfZ,81,30,60,17,27,26
trpS,4043,3898,3587,2697,2699,2679
gph,1831,1567,1576,1350,1413,1532
rpe,1194,1179,1039,1013,1128,1107
dam,3024,2765,2800,3416,3615,3771
damX,9930,9110,8957,12457,11972,12413
aroB,7059,6648,6420,7864,7604,8267
aroK,4658,4942,4605,6875,6835,7089
hofQ,109,124,102,49,70,58
hofP,13,17,10,6,8,12
hofO,15,21,21,8,8,15
hofN,20,12,22,14,9,14
hofM,88,83,67,41,29,31
mrcA,893,861,811,1840,1818,1678
nudE,464,445,402,416,370,378
igaA,510,535,476,940,1025,1308
yrfG,789,842,739,1178,1581,1867
hslR,635,639,601,947,1550,1907
hslO,1677,1670,1503,3003,4594,5691
yhgE,399,428,362,340,395,384
pck,1819,1509,1849,3306,2781,2616
envZ,900,837,791,1257,1288,1364
ompR,1393,1319,1311,2038,1969,2165
greB,186,238,187,322,370,398
yhgF,1941,1864,1677,3598,3570,3739
feoA,5772,5748,6170,1106,1372,1143
feoB,19637,17993,18271,2162,2489,2085
feoC,1293,1184,1225,148,139,121
rpnA,113,131,112,117,126,138
bioH,453,400,390,526,503,583
yhgH,386,413,403,440,540,645
nfuA,4849,4734,4562,1580,1784,1745
gntT,581,422,480,410,325,350
malQ,3154,1555,2039,2385,1328,1559
malP,7157,3265,4385,7969,3756,4188
malT,4870,3038,3201,2085,2326,2083
rtcA,141,150,140,78,81,87
rtcB,48,53,48,60,60,58
rtcR,115,115,93,248,242,220
glpG,505,498,433,1420,1365,1394
glpE,250,226,204,307,268,237
glpD,253,253,216,13765,12430,10457
yzgL,48,41,42,263,257,215
glgP,9918,9620,9789,5944,4994,5132
glgA,9447,9238,9629,5006,4192,4318
glgC,7982,7635,8135,4692,3987,3809
glgX,5696,5300,5438,2876,2458,2657
glgB,15895,14788,15029,4947,4511,4744
asd,17700,16570,16449,3428,3530,3624
yhgN,382,446,449,332,304,332
gntU,234,233,225,277,228,236
gntK,78,64,79,94,103,123
gntR,1216,1125,1160,1190,1195,1302
yhhW,1537,1595,1678,477,392,413
yhhX,3441,3312,2993,1355,1305,1331
ryhB,290,314,312,7,10,7
yhhY,67,59,65,60,68,76
yhhZ,8,8,5,5,7,11
insA-6,60,57,54,67,78,91
insB-6,115,94,91,57,74,68
yrhD,4,5,6,5,7,9
yrhB,18,33,19,74,81,117
ggt,1037,1034,789,490,242,329
yhhA,170,202,179,98,98,117
ugpQ,444,452,422,263,272,263
ugpC,220,197,193,170,123,171
ugpE,39,37,29,41,20,17
ugpA,31,21,31,27,7,7
ugpB,122,79,77,24,30,30
livF,466,241,194,68,46,55
livG,1366,769,646,142,84,78
livM,1736,932,906,125,93,78
livH,1549,922,827,80,51,49
livK,3007,1882,1899,146,88,101
panZ,123,104,96,182,191,206
livJ,1900,1698,806,237,230,235
rpoH,5107,5550,4575,13529,14440,15135
ftsX,1599,1563,1414,2075,2050,2172
ftsE,963,949,783,1319,1200,1331
ftsY,1540,1460,1261,2577,2552,2707
rsmD,431,399,352,600,600,675
yhhL,252,268,264,382,415,435
yhhM,93,102,122,72,66,86
yhhN,1231,1116,1114,504,477,457
zntA,1860,1317,1565,848,780,790
tusA,467,396,404,300,329,336
yhhQ,1576,2007,4285,798,1050,1096
dcrB,1153,1087,1522,2489,2106,2262
yhhS,866,925,768,491,549,584
yhhT,231,266,252,123,89,88
acpT,1771,1550,1703,799,902,946
nikA,106,141,103,1159,1382,1686
nikB,57,59,53,745,800,963
nikC,21,26,32,334,423,506
nikD,59,74,44,410,445,631
nikE,94,79,90,351,489,649
nikR,561,516,497,271,405,474
rhsB,196,243,159,284,252,255
yhhH,12,5,9,18,10,10
yhhI,16,13,7,42,63,79
yhhJ,69,97,87,333,331,267
rbbA,89,60,49,645,526,411
yhiI,68,73,69,346,325,292
yhiJ,31,25,34,28,25,32
yhiM,159,102,92,935,470,457
yhiN,337,339,357,1026,1104,1077
pitA,10471,8553,9664,17403,20423,23388
uspB,421,600,516,253,243,295
uspA,8691,10498,10210,4161,3955,3985
dtpB,634,960,795,2662,2502,2498
rsmJ,100,99,84,172,185,194
prlC,2342,2329,2062,2348,2736,2788
rlmJ,1040,987,926,1441,1433,1511
gor,3326,3190,3028,4211,4132,3988
dinQ,795,873,836,650,398,398
agrA,81,85,75,123,106,146
agrB,16,23,14,4,3,8
arsR,12,11,3,14,24,16
arsB,26,41,24,34,36,28
arsC,59,43,43,20,29,32
insH-11,626,607,539,532,528,501
slp,1048,436,768,875,404,412
dctR,571,177,288,634,338,356
yhiD,522,133,203,856,406,469
hdeB,3651,1445,2176,6609,3287,3537
hdeA,13898,5477,8374,38102,19893,19459
hdeD,3919,1475,2197,6229,4048,4037
arrS,523,218,421,154,108,109
gadE,1628,774,1197,432,277,288
gadF,383,141,192,184,100,112
mdtE,883,337,406,1323,695,608
mdtF,1930,784,1045,4469,2655,2796
gadW,485,283,337,1054,711,792
gadY,111,105,104,131,102,128
gadX,2599,1865,1758,2163,1626,2025
gadA,2900,1188,1314,9246,4483,3883
ccp,118,98,88,3219,2893,670
treF,446,495,423,248,188,221
yhjB,131,156,141,108,105,80
yhjC,79,39,60,26,33,36
yhjD,361,392,295,255,157,202
yhjE,334,440,352,46,41,42
yhjG,221,276,214,72,35,51
pdeH,11,14,15,7,6,15
kdgK,511,515,405,534,579,557
yhjJ,1895,1663,1554,1617,1566,1568
dctA,362,446,360,831,987,906
pdeK,453,440,407,443,448,491
bcsC,749,710,644,402,323,355
bcsZ,58,40,56,37,51,33
bcsB,114,86,100,96,105,127
bcsA,53,79,69,123,96,108
yhjR,233,187,212,146,144,154
bcsE,2814,2339,2581,1461,1402,1509
bcsF,165,140,123,86,101,81
bcsG,1211,907,997,1399,1310,1180
ldrD,54,72,73,82,96,87
rdlD,44,48,58,25,27,26
yhjV,497,456,361,968,984,1038
dppF,772,723,624,268,287,316
dppD,1006,917,710,389,310,342
dppC,568,511,373,163,134,124
dppB,469,410,288,60,44,35
dppA,6865,5259,4576,214,188,238
proK,11,5,7,3,4,3
eptB,1014,750,813,835,862,956
yhjX,580,547,611,7411,4779,4933
yhjY,368,446,389,212,215,222
tag,482,488,448,306,314,333
yiaC,122,111,100,69,89,84
bisC,1623,1395,1435,865,837,889
yiaD,74,75,60,264,332,423
ghrB,2606,2149,2063,666,753,813
yiaF,2468,2587,2635,1108,1087,1210
yiaG,938,1650,982,229,140,162
cspA,44245,47741,44771,131783,155285,156857
hokA,31,37,35,436,745,679
insJ,83,74,69,933,1185,1233
insK,28,20,24,285,379,384
glyS,10327,9565,8794,18823,19199,18875
glyQ,4155,3776,3534,8070,8059,7860
ysaB,15,16,11,30,21,38
wecH,52,61,59,38,41,48
yiaA,28,27,21,14,12,15
yiaB,23,17,12,12,17,21
xylB,338,424,368,269,217,248
xylA,195,258,197,141,111,103
xylF,12,27,13,8,18,20
xylG,89,64,75,47,56,61
xylH,92,81,91,58,41,54
xylR,483,448,416,316,375,400
bax,1710,1643,1346,4110,5393,6032
malS,581,461,497,1226,532,583
avtA,733,607,442,489,484,531
ysaA,195,191,161,344,329,319
yiaJ,489,474,464,274,279,266
yiaK,19,18,15,7,6,6
yiaL,4,2,5,0,2,2
yiaM,2,1,5,1,1,0
yiaN,10,17,8,10,8,9
yiaO,8,8,15,20,16,18
lyxK,55,35,34,42,57,29
sgbH,17,10,8,17,9,23
sgbU,17,16,13,15,19,19
sgbE,51,55,44,32,29,29
yiaT,5,6,10,8,5,5
yiaU,249,190,169,125,147,168
yiaV,71,80,70,34,42,53
yiaW,6,3,5,2,3,4
aldB,292,392,254,60,48,60
yiaY,14,14,10,16,18,19
selB,1018,1053,1029,1814,1931,2235
selA,750,735,690,922,1126,1295
yibF,260,208,189,131,112,103
rhsA,192,248,191,211,239,224
yibA,23,28,23,24,35,58
yibG,2,8,4,11,15,18
yibV,2,1,3,7,8,10
yibH,22,32,13,16,11,8
yibI,13,14,11,7,10,6
mtlA,978,818,889,1230,1172,1165
mtlD,1147,933,1104,1273,1200,1318
mtlR,394,488,460,536,576,621
yibT,237,245,270,241,319,379
yibL,699,661,640,871,887,923
lldP,299,246,175,121,112,109
lldR,197,150,114,99,123,113
lldD,93,94,68,58,57,51
trmL,461,449,378,676,699,778
cysE,3303,3434,3366,2353,2356,2376
gpsA,4743,3443,3655,3520,3698,3752
secB,5430,4656,4681,3520,3579,3699
grxC,3919,3683,3676,2931,3000,3179
yibN,2905,2673,2514,2422,2503,2590
gpmM,6175,5228,5406,7064,7794,8146
envC,1197,1062,992,1375,1497,1584
yibQ,619,503,516,469,502,558
waaH,111,91,91,98,133,140
tdh,405,408,407,993,931,1026
kbl,773,783,747,2483,2271,2496
htrL,811,596,644,733,823,816
rfaD,6817,6642,6253,4997,5208,5523
waaF,1572,1321,1321,1212,1153,1217
waaC,814,657,581,526,586,614
waaL,719,739,831,520,755,767
waaU,486,595,546,279,329,271
waaZ,560,633,638,320,423,327
waaY,617,764,709,272,316,287
waaJ,369,453,433,160,181,144
waaO,439,566,604,177,242,217
waaB,536,576,607,344,403,449
waaS,239,321,357,383,535,522
waaP,660,710,719,488,499,530
waaG,1008,1107,1068,737,736,695
waaQ,1586,1663,1701,1081,1274,1234
waaA,682,485,557,783,797,847
coaD,291,210,227,441,514,527
mutM,237,204,217,1021,1225,1313
rpmG,926,787,800,3086,3059,3594
rpmB,17386,15965,15252,48022,53051,55717
yicR,1045,830,868,1278,1453,1369
dfp,1028,986,924,1161,1251,1456
dut,1026,932,854,1822,2087,2265
slmA,697,661,665,1050,1158,1423
pyrE,73,80,73,98,115,141
rph,434,447,387,1152,1160,1122
yicC,3200,2682,2636,2223,2249,2616
dinD,416,407,406,595,588,508
yicG,117,206,183,1307,1157,1075
ligB,95,80,86,69,60,95
gmk,7214,8274,7607,6484,6644,6898
rpoZ,621,611,589,619,516,515
spoT,8101,6609,6636,10575,10761,10844
trmH,334,245,252,634,654,772
recG,1239,877,986,1623,1992,2112
gltS,606,613,597,1083,1248,1165
xanP,1493,1272,1183,102,128,164
yicH,1233,1197,1230,547,508,435
yicI,400,363,330,133,183,160
yicJ,55,51,63,27,30,39
selC,86,80,71,25,35,38
setC,5,12,12,6,8,4
yicL,439,428,388,317,337,310
nlpA,666,520,564,101,120,100
yicS,56,46,40,29,29,28
nepI,385,360,255,440,421,498
yicN,163,161,131,94,110,142
adeQ,22,19,21,10,12,13
adeD,118,169,153,347,348,361
uhpT,35,29,30,35,38,44
uhpC,73,87,89,151,150,192
uhpB,449,465,362,745,620,669
uhpA,547,564,530,643,648,665
ilvN,82,294,91,83,81,64
ilvB,431,1728,822,371,346,285
ivbL,206,194,182,94,114,122
istR,16,19,12,16,31,34
tisB,1338,1277,1427,414,321,317
emrD,114,160,124,18372,16720,16165
yidF,68,70,80,1464,1503,1445
yidG,174,154,145,196,161,195
yidH,91,114,108,112,125,107
yidI,70,80,68,58,56,60
yidJ,65,58,76,25,21,20
yidK,28,34,32,24,20,10
yidL,77,62,66,18,11,13
glvG,45,59,45,21,20,15
glvB,10,22,14,5,11,6
glvC,23,27,23,9,8,10
yidP,19,13,8,5,3,8
yidE,435,351,396,252,383,514
ibpB,46,56,48,158,795,1251
ibpA,270,269,255,221,937,1503
yidQ,2026,1956,1937,980,859,812
yidR,1451,1327,1234,842,795,823
cbrA,21,21,26,13,8,11
dgoT,44,59,39,30,46,45
dgoD,72,59,60,48,53,43
dgoA,25,21,20,22,28,24
dgoK,105,110,78,87,69,56
dgoR,94,139,76,83,104,56
yidX,160,170,162,80,95,108
yidA,2556,2383,2226,1449,1557,1486
yidB,18,18,16,17,17,20
gyrB,11018,10640,10010,16793,17874,19339
recF,972,1007,876,3309,3516,3949
dnaN,3975,4090,3646,8723,8831,9358
dnaA,4622,5325,4664,8312,8347,9063
ysdD,16,18,13,20,20,19
rpmH,13202,12878,12412,24462,29731,32333
rnpA,5802,5556,5486,17946,20263,20863
yidD,830,763,854,3180,3644,3740
yidC,4381,3962,4100,17990,19122,19701
mnmE,693,680,711,2097,2312,2460
tnaC,0,1,0,46,33,46
tnaA,162,182,160,150430,83204,104748
tnaB,42,34,34,4777,2326,4707
mdtL,96,98,82,143,93,137
yidZ,711,606,578,332,375,365
yieE,744,613,664,1460,1757,1807
yieF,448,408,451,518,556,598
adeP,2014,1757,1864,1240,1033,1057
yieH,353,250,240,89,111,90
cbrB,176,147,158,103,118,104
cbrC,23,28,19,25,17,24
yieK,52,27,31,18,14,26
yieL,43,23,28,69,38,40
bglH,18,24,11,19,29,21
bglB,15,15,12,19,25,10
bglF,861,734,677,429,475,443
bglG,11,3,9,5,6,5
phoU,663,746,684,337,357,326
pstB,828,907,882,693,740,664
pstA,207,196,164,326,295,308
pstC,233,223,231,397,368,413
pstS,206,247,249,460,488,510
glmS,5455,4559,5220,11180,12057,12634
glmU,2570,2315,2433,5561,5909,6216
atpC,10137,8696,9276,3593,4076,3682
atpD,26879,22956,24418,11481,14236,13796
atpG,11379,9438,9989,8280,9351,9809
atpA,36163,31137,33350,33940,37964,37883
atpH,8898,7863,8051,9977,10083,10727
atpF,11088,9690,10521,11867,12910,13146
atpE,4767,3905,4176,4496,4453,4650
atpB,6600,6006,6078,7543,7671,7820
atpI,891,853,818,1262,1309,1443
rsmG,432,503,446,1026,1247,1383
mnmG,2194,2149,1890,4743,4890,5450
mioC,1781,1570,1508,1265,1343,1395
asnC,216,222,198,339,387,389
asnA,2522,1273,1331,3196,2070,2042
viaA,666,539,505,765,748,777
ravA,576,514,543,872,1042,1087
kup,866,780,755,1381,1645,1786
rbsD,785,540,617,900,1092,913
rbsA,254,133,129,110,129,136
rbsC,177,78,129,127,148,115
rbsB,356,250,296,832,668,792
rbsK,387,283,287,388,447,477
rbsR,309,287,247,257,239,301
hsrA,711,669,692,667,728,800
yieP,804,761,818,955,958,933
rrsC,2142,1082,3524,2573,6340,11379
gltU,177,166,149,94,110,118
rrlC,6719,3660,12212,9081,23265,38977
rrfC,4,6,4,9,10,2
aspT,642,502,513,470,472,466
trpT,190,127,139,101,111,116
hdfR,1056,1163,1080,481,535,553
maoP,562,492,520,718,606,635
yifB,83,79,84,86,96,83
ilvL,515,698,678,86,77,73
ilvX,152,503,327,45,25,15
ilvM,499,1143,860,121,103,85
ilvE,4861,8902,7031,968,898,839
ilvD,7962,14379,12016,1432,1375,1213
ilvA,5422,9180,7560,921,892,957
ilvY,406,353,418,218,241,215
ilvC,14123,15413,10648,729,590,636
ppiC,456,444,375,303,342,385
rep,1176,1232,1074,1427,1546,1462
gpp,3184,2570,2548,2467,2848,2820
rhlB,13892,13306,12349,11649,12887,13162
trxA,3009,3364,3278,3495,3526,3565
rhoL,4171,4128,3915,3522,4555,4586
rho,27733,28557,25637,42126,49486,49424
rfe,2826,2542,2345,5003,5924,6064
wzzE,2436,2057,2037,3909,4403,4478
wecB,1036,809,866,2323,2591,2889
wecC,1153,959,1046,1904,2352,2570
rffG,1402,1074,1215,1622,2383,2331
rffH,816,602,634,695,864,787
rffC,409,300,297,342,374,332
wecE,587,416,467,470,478,435
wzxE,726,579,595,459,572,455
rffT,672,598,588,483,618,521
wzyE,286,249,240,284,327,288
rffM,244,184,214,240,301,273
yifK,503,453,424,922,973,953
argX,101,83,77,58,68,58
hisR,136,103,107,92,80,97
leuT,648,591,620,436,398,412
proM,132,137,152,81,100,85
aslB,110,99,125,257,286,298
aslA,168,154,165,194,203,205
glmZ,1436,1610,1876,1096,1478,1761
hemY,2615,2436,2462,3380,3230,3338
hemX,2424,2228,2071,2701,2670,2567
hemD,1436,1219,1246,1119,1123,1142
hemC,3713,3360,3466,2699,2766,2882
cyaA,14436,14037,12692,9132,8851,8708
cyaY,424,378,345,363,329,288
